Source,Target,Type,Id
64,97,directed,396
64,19,directed,398
64,3,directed,511
98,3,directed,1297
74,3,directed,2802
2,3,directed,1223
2,3,directed,1224
2,3,directed,1225
108,3,directed,799
40,3,directed,2518
40,3,directed,2519
112,3,directed,3506
16,3,directed,706
16,3,directed,708
16,3,directed,781
16,3,directed,864
16,3,directed,880
2,3,directed,1219
108,3,directed,2554
11,3,directed,2999
11,3,directed,3005
11,3,directed,3236
90,3,directed,2553
90,3,directed,2576
1,3,directed,3341
1,3,directed,3339
90,10,directed,2571
10,10,directed,3395
1,10,directed,3371
50,3,directed,20
25,3,directed,2409
25,19,directed,2417
81,97,directed,363
108,3,directed,1677
16,19,directed,782
74,97,directed,2496
74,3,directed,2497
74,19,directed,2498
75,97,directed,448
42,3,directed,691
55,19,directed,3384
47,97,directed,1015
65,3,directed,53
103,19,directed,3199
103,97,directed,3201
11,3,directed,3129
64,19,directed,121
103,97,directed,2076
89,3,directed,1396
90,19,directed,2627
2,97,directed,1232
110,3,directed,1954
108,19,directed,1039
108,97,directed,1873
11,3,directed,3136
104,19,directed,3740
58,97,directed,573
108,3,directed,1526
16,19,directed,881
81,97,directed,393
36,97,directed,741
98,97,directed,863
107,97,directed,738
58,97,directed,545
103,97,directed,3777
11,97,directed,3138
75,97,directed,467
65,97,directed,69
65,97,directed,70
65,97,directed,71
65,97,directed,74
65,97,directed,77
65,97,directed,81
93,97,directed,1973
39,97,directed,1794
103,97,directed,3854
103,97,directed,3855
38,97,directed,387
108,97,directed,3772
108,97,directed,1129
16,97,directed,997
78,97,directed,2092
81,97,directed,1107
78,97,directed,2091
103,97,directed,3413
49,97,directed,607
49,97,directed,608
49,97,directed,609
49,97,directed,610
49,97,directed,611
49,97,directed,612
49,97,directed,613
49,97,directed,626
49,97,directed,627
49,97,directed,628
49,97,directed,629
49,97,directed,630
49,97,directed,662
49,97,directed,663
49,97,directed,672
49,97,directed,766
49,97,directed,767
49,97,directed,769
49,97,directed,770
49,97,directed,771
40,97,directed,3627
27,97,directed,305
100,97,directed,3523
103,97,directed,3327
70,97,directed,2817
70,97,directed,2834
108,97,directed,1874
26,97,directed,3795
70,97,directed,2771
71,97,directed,3212
70,97,directed,2639
70,97,directed,2640
70,97,directed,2936
71,97,directed,3007
71,97,directed,3024
71,97,directed,3190
71,97,directed,3208
79,97,directed,3103
87,97,directed,2283
87,97,directed,2292
87,97,directed,2296
87,97,directed,2299
74,97,directed,2217
20,97,directed,2651
20,97,directed,2656
20,97,directed,2660
20,97,directed,2664
20,97,directed,2668
20,97,directed,2675
20,97,directed,2679
20,97,directed,2683
20,97,directed,2687
20,97,directed,2691
20,97,directed,2695
20,97,directed,2699
47,97,directed,1003
87,97,directed,2428
68,97,directed,1002
19,97,directed,164
65,97,directed,82
53,97,directed,2325
53,97,directed,2326
38,97,directed,464
75,97,directed,885
108,97,directed,2454
22,97,directed,315
22,97,directed,316
22,97,directed,317
16,97,directed,1910
108,97,directed,698
64,97,directed,351
26,97,directed,3825
28,97,directed,3829
81,97,directed,527
81,97,directed,528
81,97,directed,575
81,97,directed,857
81,97,directed,975
81,97,directed,1047
81,97,directed,1106
70,97,directed,2752
58,97,directed,652
42,97,directed,648
42,97,directed,687
108,97,directed,1528
1,97,directed,3351
50,97,directed,33
50,97,directed,23
108,97,directed,964
108,97,directed,1272
58,97,directed,634
108,97,directed,2509
79,97,directed,3193
108,97,directed,921
103,97,directed,1423
56,97,directed,2161
16,97,directed,701
16,97,directed,716
16,97,directed,718
16,97,directed,993
16,97,directed,1176
16,97,directed,1697
16,97,directed,1909
16,97,directed,1959
16,97,directed,1961
16,97,directed,1962
84,97,directed,340
70,97,directed,2812
70,97,directed,2813
10,97,directed,3375
10,97,directed,3376
10,97,directed,3377
64,97,directed,1101
108,97,directed,1348
103,97,directed,1980
61,97,directed,1946
90,97,directed,2565
16,97,directed,996
16,97,directed,988
25,97,directed,2410
25,97,directed,2418
16,97,directed,764
65,97,directed,51
89,97,directed,1387
89,97,directed,1410
47,97,directed,1013
19,97,directed,146
75,97,directed,447
75,97,directed,1192
39,97,directed,1759
39,97,directed,1761
16,97,directed,1921
78,97,directed,2321
81,97,directed,364
11,97,directed,3293
75,97,directed,520
2,97,directed,1239
56,97,directed,2350
87,97,directed,2415
56,97,directed,2348
103,97,directed,1908
71,97,directed,3107
71,97,directed,3111
70,97,directed,2760
90,97,directed,2743
89,97,directed,1393
1,97,directed,3370
1,97,directed,3348
40,97,directed,2547
38,97,directed,424
108,97,directed,3267
16,97,directed,714
16,97,directed,715
16,97,directed,1978
64,97,directed,99
19,97,directed,329
1,97,directed,3344
84,97,directed,14
101,97,directed,1537
101,97,directed,1538
101,97,directed,1537
101,97,directed,1538
103,97,directed,1430
65,97,directed,57
71,97,directed,3206
106,97,directed,2946
102,97,directed,1445
102,97,directed,1406
91,97,directed,2047
75,97,directed,596
42,97,directed,565
42,97,directed,656
42,97,directed,657
42,97,directed,658
42,97,directed,659
42,97,directed,695
107,97,directed,673
107,97,directed,729
107,97,directed,731
107,97,directed,732
58,97,directed,587
58,97,directed,601
103,97,directed,1253
103,97,directed,1255
103,97,directed,1257
108,97,directed,1157
108,97,directed,1160
108,97,directed,1163
103,97,directed,2450
19,97,directed,213
55,97,directed,3396
108,97,directed,1042
108,97,directed,1346
108,97,directed,1501
108,97,directed,1153
108,97,directed,3258
108,97,directed,3594
108,97,directed,3605
108,97,directed,3762
81,97,directed,431
81,97,directed,562
108,97,directed,2791
56,97,directed,2375
56,97,directed,2376
56,97,directed,2377
56,97,directed,2379
42,97,directed,614
16,97,directed,1913
74,97,directed,2790
108,97,directed,1371
40,97,directed,3162
108,97,directed,890
108,97,directed,2988
50,97,directed,26
106,97,directed,2978
106,97,directed,2981
16,97,directed,1787
6,97,directed,1350
106,97,directed,2909
11,97,directed,2905
11,97,directed,2906
11,97,directed,2907
103,97,directed,3789
16,97,directed,702
11,97,directed,3268
108,97,directed,1360
108,97,directed,3771
11,97,directed,3617
11,97,directed,3618
89,97,directed,1391
91,97,directed,2046
64,97,directed,374
74,97,directed,2106
81,97,directed,495
81,97,directed,498
87,97,directed,2422
106,97,directed,2953
106,97,directed,2956
106,97,directed,2959
106,97,directed,2963
11,97,directed,3270
11,97,directed,3272
91,97,directed,2005
64,97,directed,124
11,97,directed,3310
89,97,directed,1388
70,97,directed,2751
103,97,directed,3018
103,97,directed,3019
103,97,directed,3020
110,97,directed,1955
56,97,directed,2197
56,97,directed,2198
56,97,directed,2199
103,97,directed,2610
100,97,directed,3525
42,97,directed,1102
42,97,directed,1017
